"$U_0,~V$","$U_{0}(0),~V$","$U_{R}(0),~V$","$U_{0}(\Delta t),~V$","$U_{R}(\Delta t),~V$","$\Delta t,~ms$","$R_w(0),~\Omega$","$R_w(\Delta t),~\Omega$","$\frac{\Delta T}{\Delta t},~\frac{K}{ms}$","$\frac{\Delta T}{\Delta t},~\frac{K}{ms}$","$p,~W$"
"10,00","2,52","1,50","3,72","1,30",590,"6,80","18,62","0,6544469157","0,6554957088","1,275"
"9,50","2,36","1,38","3,44","1,24",590,"7,10","17,74","0,564351857","0,4587718436","1,12056"
"9,00","2,28","1,32","3,12","1,20",600,"7,27","16,00","0,4444444444","0,3819444444","1,01376"
"8,50","2,10","1,26","2,92","1,14",670,"6,67","15,61","0,4451427075","0,3904760592","0,91224"
"8,00","1,92","1,24","2,80","1,10",760,"5,48","15,45","0,5316321106","0,4935365476","0,83824"
"7,50","1,80","1,18","2,54","1,02",890,"5,25","14,90","0,4584718185","0,5481112296","0,74576"
"7,00","1,72","1,02","2,32","0,98",990,"6,86","13,67","0,2227653928","0,09535869594","0,60996"
"6,50","1,60","0,96","2,16","0,84",1170,"6,67","15,71","0,2577669244","0,3149407911","0,53184"
"6,00","1,44","0,89","1,84","0,83",1280,"6,18","12,17","0,1682487526","0,1468084826","0,45479"
"5,50","1,34","0,84","1,60","0,76",1520,"5,95","11,05","0,1252693136","0,1871021043","0,39144"
"5,00","1,16","0,77","1,36","0,71",1750,"5,06","9,15","0,102541173","0,1492038786","0,32571"
