"$U_0,~V$","$U_{0}(0),~V$","$U_{R}(0),~V$","$U_{0}(\Delta t),~V$","$U_{R}(\Delta t),~V$","$\Delta t,~ms$","$R_w(0),~\Omega$","$R_w(\Delta t),~\Omega$","$\frac{\Delta T}{\Delta t},~\frac{K}{ms}$","$p,~W$"
"10,00","3,48","2,57","4,16","2,32",590,"3,540856031","7,93","0,466991934","1,90951"
"9,50","3,28","2,43","4,04","2,15",710,"3,497942387","8,79","0,4735853944","1,71801"
"9,00","3,08","2,39","3,72","2,11",750,"2,887029289","7,63","0,4868059212","1,57979"
"8,50","2,96","2,22","3,48","2,03",850,"3,333333333","7,14","0,2987861811","1,39416"
"8,00","2,68","2,11","3,28","1,87",900,"2,701421801","7,54","0,4422623205","1,24279"
"7,50","2,52","1,97","3,04","1,77",1050,"2,791878173","7,18","0,3322762193","1,08941"
"7,00","2,40","1,81","2,80","1,73",1080,"3,259668508","6,18","0,1846550076","0,93939"
"6,50","2,22","1,73","2,60","1,55",1620,"2,832369942","6,77","0,1909060451","0,82521"
"6,00","2,04","1,59","2,32","1,50",1790,"2,830188679","5,47","0,1156493551","0,70119"
"5,50","1,92","1,48","2,00","1,40",1860,"2,972972973","4,29","0,05275489146","0,59496"
"5,00","1,72","1,36","1,84","1,32",1900,"2,647058824","3,94","0,05710122669","0,49504"
