b	R
42,00	12
42,01	8
42,02	6
42,03	5
42,04	4
42,05	6
42,06	7
42,07	9
42,08	10
42,09	14
42,10	9
42,11	8
42,12	8
42,13	9
42,14	6
42,15	8
42,16	4
42,17	5
42,18	6
42,19	6
42,20	2
42,21	10
42,22	13
42,23	8
42,24	8
42,25	7
42,26	11
42,27	11
42,28	4
42,29	6
42,30	12
42,31	9
42,32	4
42,33	6
42,34	7
42,35	5
42,36	8
42,37	8
42,38	6
42,39	5
42,40	7
42,41	9
42,42	7
42,43	10
42,44	7
42,45	6
42,46	11
42,47	10
42,48	10
42,49	14
42,50	5
42,51	10
42,52	7
42,53	10
42,54	5
42,55	5
42,56	9
42,57	8
42,58	6
42,59	6
42,60	9
42,61	8
42,62	9
42,63	10
42,64	8
42,65	1
42,66	11
42,67	11
42,68	6
42,69	10
42,70	14
42,71	8
42,72	8
42,73	10
42,74	9
42,75	3
42,76	5
42,77	5
42,78	6
42,79	9
42,80	9
42,81	10
42,82	7
42,83	5
42,84	8
42,85	10
42,86	7
42,87	12
42,88	8
42,89	9
42,90	6
42,91	6
42,92	9
42,93	6
42,94	7
42,95	8
42,96	6
42,97	5
42,98	11
42,99	10
43,00	5
43,01	6
43,02	5
43,03	6
43,04	6
43,05	9
43,06	5
43,07	8
43,08	8
43,09	7
43,10	7
43,11	6
43,12	12
43,13	12
43,14	7
43,15	8
43,16	5
43,17	12
43,18	12
43,19	7
43,20	5
43,21	12
43,22	9
43,23	10
43,24	10
43,25	15
43,26	10
43,27	9
43,28	21
43,29	16
43,30	20
43,31	19
43,32	16
43,33	13
43,34	21
43,35	16
43,36	19
43,37	18
43,38	12
43,39	19
43,40	11
43,41	19
43,42	18
43,43	11
43,44	16
43,45	11
43,46	18
43,47	11
43,48	13
43,49	13
43,50	16
43,51	16
43,52	19
43,53	9
43,54	9
43,55	19
43,56	17
43,57	14
43,58	15
43,59	20
43,60	18
43,61	11
43,62	30
43,63	24
43,64	42
43,65	33
43,66	62
43,67	59
43,68	69
43,69	96
43,70	137
43,71	158
43,72	221
43,73	285
43,74	374
43,75	422
43,76	423
43,77	432
43,78	456
43,79	462
43,80	434
43,81	387
43,82	319
43,83	224
43,84	184
43,85	145
43,86	99
43,87	96
43,88	65
43,89	52
43,90	55
43,91	43
43,92	38
43,93	37
43,94	36
43,95	29
43,96	28
43,97	26
43,98	26
43,99	17
44,00	29
44,01	22
44,02	22
44,03	25
44,04	20
44,05	17
44,06	12
44,07	19
44,08	19
44,09	16
44,10	13
44,11	18
44,12	13
44,13	9
44,14	12
44,15	10
44,16	12
44,17	9
44,18	17
44,19	7
44,20	17
44,21	12
44,22	9
44,23	14
44,24	13
44,25	8
44,26	3
44,27	17
44,28	14
44,29	11
44,30	10
44,31	15
44,32	10
44,33	9
44,34	14
44,35	16
44,36	12
44,37	15
44,38	7
44,39	15
44,40	9
44,41	14
44,42	16
44,43	19
44,44	8
44,45	8
44,46	7
44,47	10
44,48	9
44,49	8
44,50	9
44,51	17
44,52	10
44,53	10
44,54	14
44,55	12
44,56	10
44,57	12
44,58	6
44,59	8
44,60	13
44,61	7
