b	R
21,20	20
21,22	22
21,24	17
21,26	24
21,28	15
21,30	27
21,32	32
21,34	23
21,36	24
21,38	29
21,40	29
21,42	26
21,44	28
21,46	35
21,48	30
21,50	29
21,52	39
21,54	35
21,56	31
21,58	32
21,60	28
21,62	36
21,64	44
21,66	29
21,68	31
21,70	40
21,72	43
21,74	35
21,76	34
21,78	39
21,80	44
21,82	54
21,84	51
21,86	62
21,88	47
21,90	47
21,92	64
21,94	51
21,96	69
21,98	61
22,00	69
22,02	63
22,04	71
22,06	82
22,08	89
22,10	95
22,12	99
22,14	112
22,16	110
22,18	122
22,20	145
22,22	162
22,24	167
22,26	160
22,28	175
22,30	203
22,32	262
22,34	294
22,36	348
22,38	392
22,40	415
22,42	527
22,44	561
22,46	684
22,48	785
22,50	1044
22,52	1571
22,54	2065
22,56	2651
22,58	2985
22,60	3218
22,62	3555
22,64	3575
22,66	3644
22,68	3529
22,70	3230
22,72	2831
22,74	2386
22,76	2119
22,78	1911
22,80	1665
22,82	1325
22,84	1059
22,86	889
22,88	795
22,90	571
22,92	419
22,94	332
22,96	273
22,98	256
23,00	221
23,02	218
23,04	190
23,06	197
23,08	171
23,10	150
23,12	125
23,14	137
23,16	106
23,18	117
23,20	101
23,22	99
23,24	88
23,26	79
23,28	86
23,30	73
23,32	78
23,34	67
23,36	63
23,38	60
23,40	60
23,42	55
23,44	50
23,46	60
23,48	48
23,50	51
23,52	45
23,54	49
23,56	49
23,58	46
23,60	43
23,62	38
23,64	37
23,66	40
23,68	32
23,70	33
23,72	37
23,74	33
23,76	38
23,78	46
23,80	31
23,82	25
23,84	28
23,86	32
23,88	27
23,90	28
23,92	29
23,94	25
23,96	28
23,98	40
24,00	29
24,02	26
24,04	23
24,06	28
24,08	20
24,10	23
24,12	22
24,14	23
24,16	30
24,18	17
24,20	17
