b	R
-3,00	1
-2,95	0
-2,90	0
-2,85	0
-2,80	0
-2,75	0
-2,70	2
-2,65	1
-2,60	0
-2,55	0
-2,50	1
-2,45	0
-2,40	0
-2,35	2
-2,30	0
-2,25	0
-2,20	0
-2,15	0
-2,10	0
-2,05	0
-2,00	1
-1,95	0
-1,90	0
-1,85	1
-1,80	0
-1,75	0
-1,70	0
-1,65	0
-1,60	1
-1,55	0
-1,50	0
-1,45	2
-1,40	1
-1,35	0
-1,30	0
-1,25	0
-1,20	0
-1,15	1
-1,10	6
-1,05	12
-1,00	30
-0,95	103
-0,90	116
-0,85	172
-0,80	228
-0,75	330
-0,70	451
-0,65	499
-0,60	652
-0,55	776
-0,50	872
-0,45	1040
-0,40	1141
-0,35	1286
-0,30	1507
-0,25	1581
-0,20	1585
-0,15	1760
-0,10	1840
-0,05	1875
0,00	1918
0,05	1852
0,10	1874
0,15	1832
0,20	1740
0,25	1620
0,30	1503
0,35	1386
0,40	1287
0,45	1164
0,50	963
0,55	784
0,60	722
0,65	581
0,70	445
0,75	357
0,80	284
0,85	181
0,90	127
0,95	80
1,00	37
1,05	17
1,10	6
1,15	2
1,20	0
1,25	2
1,30	0
1,35	0
1,40	1
1,45	0
1,50	1
1,55	0
1,60	0
1,65	0
1,70	0
1,75	1
1,80	0
1,85	1
1,90	0
1,95	0
2,00	2
2,05	0
2,10	1
2,15	0
2,20	0
2,25	0
2,30	0
2,35	0
2,40	1
2,45	0
2,50	1
2,55	0
2,60	0
2,65	0
2,70	0
2,75	0
2,80	1
2,85	0
2,90	0
2,95	0
3,00	1
